seed,scenario,target,profile,scenario_signature,method,confidence_level,n_labeled,n_unlabeled,n_replicates,n_successful_replicates,n_failed_replicates,average_ci_width,empirical_coverage
0,logistic_glm,beta_0,P1,logistic_glm:P1,naive_ml,0.9,60,600,200,200,0,0.003809257223619009,0.895
0,logistic_glm,beta_0,P1,logistic_glm:P1,ppi,0.9,60,600,200,200,0,1.3419223718253155,0.9
0,logistic_glm,beta_0,P1,logistic_glm:P1,ppi_plus_plus_v1,0.9,60,600,200,200,0,1.3133159541659722,0.875
0,logistic_glm,beta_0,P1,logistic_glm:P1,ppi_plus_plus_v2,0.9,60,600,200,200,0,1.2870855731245343,0.885
0,logistic_glm,beta_0,P2,logistic_glm:P2,naive_ml,0.9,60,600,200,200,0,0.004918896180123735,0.0
0,logistic_glm,beta_0,P2,logistic_glm:P2,ppi,0.9,60,600,200,200,0,1.345779387759763,0.9
0,logistic_glm,beta_0,P2,logistic_glm:P2,ppi_plus_plus_v1,0.9,60,600,200,200,0,1.3174666594489053,0.87
0,logistic_glm,beta_0,P2,logistic_glm:P2,ppi_plus_plus_v2,0.9,60,600,200,200,0,1.2936344659992427,0.88
0,logistic_glm,beta_0,P3,logistic_glm:P3,naive_ml,0.9,60,600,200,200,0,0.002822456704477766,0.0
0,logistic_glm,beta_0,P3,logistic_glm:P3,ppi,0.9,60,600,200,200,0,1.3511544907613686,0.905
0,logistic_glm,beta_0,P3,logistic_glm:P3,ppi_plus_plus_v1,0.9,60,600,200,200,0,1.317590311418714,0.87
0,logistic_glm,beta_0,P3,logistic_glm:P3,ppi_plus_plus_v2,0.9,60,600,200,200,0,1.2904254537383932,0.88
0,logistic_glm,beta_0,P4,logistic_glm:P4,naive_ml,0.9,60,600,200,200,0,0.03777196244168771,0.885
0,logistic_glm,beta_0,P4,logistic_glm:P4,ppi,0.9,60,600,200,200,0,1.3496285087474928,0.9
0,logistic_glm,beta_0,P4,logistic_glm:P4,ppi_plus_plus_v1,0.9,60,600,200,200,0,1.30253408631258,0.87
0,logistic_glm,beta_0,P4,logistic_glm:P4,ppi_plus_plus_v2,0.9,60,600,200,200,0,1.2877310589991569,0.885
0,logistic_glm,beta_0,baseline,logistic_glm:baseline,classic,0.9,60,600,200,200,0,1.3288238387005489,0.875
0,logistic_glm,beta_0,P1,logistic_glm:P1,naive_ml,0.95,60,600,200,200,0,0.00453900994216707,0.94
0,logistic_glm,beta_0,P1,logistic_glm:P1,ppi,0.95,60,600,200,200,0,1.5989991302148754,0.96
0,logistic_glm,beta_0,P1,logistic_glm:P1,ppi_plus_plus_v1,0.95,60,600,200,200,0,1.564912481153623,0.945
0,logistic_glm,beta_0,P1,logistic_glm:P1,ppi_plus_plus_v2,0.95,60,600,200,200,0,1.5336570543487063,0.945
0,logistic_glm,beta_0,P2,logistic_glm:P2,naive_ml,0.95,60,600,200,200,0,0.005861226311427041,0.0
0,logistic_glm,beta_0,P2,logistic_glm:P2,ppi,0.95,60,600,200,200,0,1.6035950481710066,0.955
0,logistic_glm,beta_0,P2,logistic_glm:P2,ppi_plus_plus_v1,0.95,60,600,200,200,0,1.5698583515530844,0.945
0,logistic_glm,beta_0,P2,logistic_glm:P2,ppi_plus_plus_v2,0.95,60,600,200,200,0,1.5414605415178522,0.94
0,logistic_glm,beta_0,P3,logistic_glm:P3,naive_ml,0.95,60,600,200,200,0,0.0033631645990000545,0.0
0,logistic_glm,beta_0,P3,logistic_glm:P3,ppi,0.95,60,600,200,200,0,1.6099998784390126,0.97
0,logistic_glm,beta_0,P3,logistic_glm:P3,ppi_plus_plus_v1,0.95,60,600,200,200,0,1.5700056919628766,0.945
0,logistic_glm,beta_0,P3,logistic_glm:P3,ppi_plus_plus_v2,0.95,60,600,200,200,0,1.5376367675636504,0.94
0,logistic_glm,beta_0,P4,logistic_glm:P4,naive_ml,0.95,60,600,200,200,0,0.04500806928839976,0.935
